source_pr_number	source_pr_state	source_pr_title	source_pr_url	source_pr_author_login	source_pr_author_name	source_base_ref	source_head_ref	source_head_sha	source_merged_at	source_closed_at	import_kind	target_pr_number	target_pr_url	target_pr_is_draft	target_branch	target_base_branch	target_commit_sha
73	OPEN	Update Amazon persona inference workflow	https://github.com/MatrAIx-ai/MatrAIx/pull/73	rosierogao	NA	main	amazon-persona-inference-followup	44c923a298e95191f2b98aff6ffd3eae59ba54f4	NA	NA	open_pr_snapshot	75	https://github.com/ElegantLin/PersonaBench/pull/75	true	codex/matraix-pr-snapshot-073-44c923a298	codex/matraix-main-061-e50592a4cb	d6318427b164bfa0ec2353c292e100fec63ecf6e
74	MERGED	Add Summary of Industry-Related Persona Attributes from Attribute Sch…	https://github.com/MatrAIx-ai/MatrAIx/pull/74	elizabeth-fan	Elizabeth	main	elizabeth-fan-industry-attributes-1	db15a5f5c8224c16d07fe70a78caea4e3c422e1c	2026-06-24T03:02:30Z	2026-06-24T03:02:30Z	merged_pr_snapshot	110	https://github.com/ElegantLin/PersonaBench/pull/110	true	codex/matraix-pr-merged-snapshot-074-db15a5f5c8	codex/matraix-main-061-e50592a4cb	460acb08aebe61e00e3746296ba23215fa7439a3
75	OPEN	v1 evaluation flow	https://github.com/MatrAIx-ai/MatrAIx/pull/75	rosierogao	NA	main	v1-evaluation-flow	079f39d18e05589934dccc5d9d0313d6ff262ae5	NA	NA	open_pr_snapshot	74	https://github.com/ElegantLin/PersonaBench/pull/74	true	codex/matraix-pr-snapshot-075-079f39d18e	codex/matraix-main-061-e50592a4cb	47c25eab680d691d3dbc62bd33dd052aded3e876
76	OPEN	Add Harbor-backed recommender persona eval	https://github.com/MatrAIx-ai/MatrAIx/pull/76	YifanLiu2	Yifan Liu	main	app/recommender-agent-harbor-validate	f62d17e61d12dfda811e54847f7a35a44e5732c5	NA	NA	open_pr_snapshot	73	https://github.com/ElegantLin/PersonaBench/pull/73	true	codex/matraix-pr-snapshot-076-f62d17e61d	codex/matraix-main-061-e50592a4cb	e3702680f1ba0366bc674564d0a806e971594248
77	MERGED	Add personalization and social-interaction benchmarks	https://github.com/MatrAIx-ai/MatrAIx/pull/77	heming03	Heming Liu	main	heming03-patch-1	e844093d140aeb2ea6f1b565c82db87cf032bd79	2026-06-24T04:44:38Z	2026-06-24T04:44:38Z	merged_pr_snapshot	111	https://github.com/ElegantLin/PersonaBench/pull/111	true	codex/matraix-pr-merged-snapshot-077-e844093d14	codex/matraix-main-061-e50592a4cb	73975cab8bcb3b2bf3867b898872dcfcf0d66a35
81	OPEN	[codex] Add Amazon review collaboration adapter	https://github.com/MatrAIx-ai/MatrAIx/pull/81	elizabeth-fan	Elizabeth	main	codex/amazon-wiki-collab-adapter	ae4735973aa7b6ddbd1b4de79752d5e401897b83	NA	NA	open_pr_snapshot	72	https://github.com/ElegantLin/PersonaBench/pull/72	true	codex/matraix-pr-snapshot-081-ae4735973a	codex/matraix-main-061-e50592a4cb	9742e90ba73d7fe896a6ce2051d5e0277b695ebe
82	MERGED	Add coding persona dimensions v2	https://github.com/MatrAIx-ai/MatrAIx/pull/82	elizabeth-fan	Elizabeth	main	codex/coding-dimensions-v2	591b8f58eabc8aaee9a65ba3a10a5de000c44951	2026-06-24T18:27:41Z	2026-06-24T18:27:41Z	merged_pr_snapshot	112	https://github.com/ElegantLin/PersonaBench/pull/112	true	codex/matraix-pr-merged-snapshot-082-591b8f58ea	codex/matraix-main-061-e50592a4cb	54a414e3e25170b91af5f63aa256e8033df8a048
83	OPEN	Add standalone Harbor-backed survey eval	https://github.com/MatrAIx-ai/MatrAIx/pull/83	elizabeth-fan	Elizabeth	main	codex/harbor-survey-eval	96e77c15c7faf41b6d839a4dee475acfb0ea3d9e	NA	NA	open_pr_snapshot	71	https://github.com/ElegantLin/PersonaBench/pull/71	true	codex/matraix-pr-snapshot-083-96e77c15c7	codex/matraix-main-061-e50592a4cb	c416c04ba1dfabd5d1583afbb68bfc57666d4f45
84	MERGED	Add behavior and private-user-data benchmarks	https://github.com/MatrAIx-ai/MatrAIx/pull/84	ZhengyangShan	Zhengyang Shan	main	ZhengyangShan-patch-2	c599d81d21822e1da10056d2d6de4b2f1a28c85b	2026-06-25T03:45:07Z	2026-06-25T03:45:07Z	merged_pr_snapshot	113	https://github.com/ElegantLin/PersonaBench/pull/113	true	codex/matraix-pr-merged-snapshot-084-c599d81d21	codex/matraix-main-061-e50592a4cb	aa3113b4c91b22f97eb04473d9015c21cab0832c
85	MERGED	Add name as an owner in PLAN.md	https://github.com/MatrAIx-ai/MatrAIx/pull/85	ZhengyangShan	Zhengyang Shan	main	ZhengyangShan-patch-3	b92ab92f65766d0fe83a4a37d02d7d9259a09035	2026-06-24T15:11:54Z	2026-06-24T15:11:54Z	merged_pr_snapshot	114	https://github.com/ElegantLin/PersonaBench/pull/114	true	codex/matraix-pr-merged-snapshot-085-b92ab92f65	codex/matraix-main-061-e50592a4cb	b5b7d00101a79638e49d4f3b03d7570ce1a49f0f
